id,nomgeo,cve_mun,cve_ent,cvegeo,geo_point_2d
0,MILPA ALTA,9,9,9009,"19.1394565999,-99.0510954218"
1,BENITO JUAREZ,14,9,9014,"19.3806424162,-99.1611346584"
2,GUSTAVO A MADERO,5,9,9005,"19.5040652077,-99.1158642087"
3,COYOACAN,3,9,9003,"19.3266672536,-99.1503763525"
4,MIGUEL HIDALGO,16,9,9016,"19.4280623649,-99.2045669144"
5,MAGDALENA CONTRERAS,8,9,9008,"19.2689765031,-99.2684129061"
6,TLAHUAC,11,9,9011,"19.2769983772,-99.0028216137"
7,AZCAPOTZALCO,2,9,9002,"19.4853286147,-99.1821069423"
8,IZTACALCO,6,9,9006,"19.396911897,-99.094329797"
9,ALVARO OBREGON,10,9,9010,"19.336175562,-99.246819712"
10,XOCHIMILCO,13,9,9013,"19.2451450458,-99.0903636045"
11,VENUSTIANO CARRANZA,17,9,9017,"19.4304954545,-99.0931057959"
12,TLALPAN,12,9,9012,"19.1983396763,-99.2062207957"
13,CUAJIMALPA,4,9,9004,"19.3246343001,-99.3107285253"
14,CUAUHTEMOC,15,9,9015,"19.4313734294,-99.1490557562"
15,IZTAPALAPA,7,9,9007,"19.3491663204,-99.0567989642"
